media_id,Media Cluster
1,9
10,19
1000,5
1001,2
1002,11
1003,18
1004,14
1005,14
1006,10
1007,22
1008,17
1009,17
101,9
1010,14
1011,2
1011a,2
1011b,14
1011c,2
1011d,2
1012,20
1012a,20
1012b,3
1013,5
1014,11
1015,19
1016,19
1017,9
1018,17
1019,14
102,1
1020,22
1021,12
1022,14
1023,10
1024,2
1025,9
1026,19
1027,19
1028,2
1029,19
1030,2
1031,1
1031a,1
1032,10
1033,20
1034,20
1035,13
1036,21
1037,1
1038,10
1039,19
104,10
1040,2
1041,2
1042,2
1043,5
1044,19
1045,17
1046,20
1047,17
1048,18
1049,7
104a,10
104b,10
104c,10
104d,10
105,19
1050,1
1051,14
1052,19
1053,2
1053a,2
1054,19
1055,14
1056,14
1057,14
1058,0
1058a,0
1058b,0
1058c,0
1058d,0
1058e,0
1059,21
1060,1
1061,22
1062,5
1063,0
1064,10
1065,9
1066,20
1068,14
1069,21
1070,1
1071,20
1072,12
1073,21
1074,2
1075,12
1076,17
1076a,17
1076b,19
1077,17
1078,12
1079,17
108,10
1080,17
1081,1
1081a,1
1082,5
1083,5
1084,12
1085,17
1086,14
1087,9
109,22
1090,17
1091,12
1092,2
1094,14
1095,14
1096,17
1097,14
1098,2
1099,21
11,1
110,19
1100,21
1101,14
1101a,0
1102,22
1104,14
1105,10
1106,12
1107,17
1108,20
1108a,20
1109,19
110a,1
111,1
1110,14
1111,1
1112,14
1113,3
1114,2
1115,2
1116,7
1117,17
1118,22
1119,21
1120,12
1121,8
1122,10
1122a,10
1123,17
1124,19
1125,12
1126,3
1127,1
1128,21
1129,21
113,22
1130,12
1131,2
1132,21
1133,17
1134,22
1135,19
1136,21
1137,6
1138,12
1139,20
113a,7
114,9
1140,19
1141,10
1142,22
1143,20
1144,6
1145,21
1146,21
1147,21
1148,14
1149,7
115,9
1150,20
1151,7
1152,21
1153,6
1154,1
1155,12
1156,10
1157,9
1158,12
1159,9
115a,9
1160,12
1161,1
1162,21
1163,2
1163a,2
1164,12
1165,7
1166,14
1166a,14
1167,22
1168,9
1169,9
1170,22
1171,22
1172,9
1173,16
1174,20
1175,20
1176,22
1177,19
1178,9
1179,22
118,9
1180,22
1181,22
1182,1
1183,11
1184,12
1185,20
1186,19
1187,14
1188,5
1188b,5
1189,4
119,21
1190,10
1191,10
1192,15
1193,3
1194,12
1195,12
1196,6
1197,21
1198,3
1199,9
119a,21
119b,21
119c,21
11a,1
11b,1
12,15
120,14
1200,7
1201,10
1202,14
1203,3
1203a,3
1204,12
1205,15
1206,2
1207,17
1208,14
1209,15
120a,14
120b,14
120c,14
120d,14
121,21
1210,14
1210a,14
1210b,14
1210c,14
1211,14
1212,21
1213,12
1214,12
1215,10
1216,12
1217,21
1218,21
1219,22
122,10
1220,22
1221,12
1222,21
1223,5
1224,21
1225,11
1226,21
1227,21
1228,11
1229,11
123,20
1230,11
1231,12
1232,2
1233,12
1234,5
1235,1
1236,2
1237,2
1238,9
1239,11
124,14
1240,18
1241,18
1242,20
1243,2
1244,6
1245,19
1246,11
1247,20
1248,10
1249,21
125,18
1250,14
1251,5
1252,19
1253,3
1255,14
1257,14
1258,9
1259,9
126,9
1260,15
1261,19
1262,12
1263,2
1264,22
1265,10
1266,7
1266a,21
1267,2
1267a,2
1267b,2
1269,9
127,19
1270,10
1271,14
1272,11
1273,2
1274,19
1275,7
1276,22
1277,14
1277a,14
1277b,0
1278,2
1279,3
1280,14
1281,10
1282,7
1283,17
1284,1
1285,10
1286,10
1288,10
1289,9
129,15
1290,2
1291,0
1292,5
